Antenna,ULaDeg,ULaMin,ULaSec,ULaQuad,ULoDeg,ULoMin,ULoSec,ULoQuad,UTMAlt,Lat,Lon,Quad,Alt,DecLat,DecLon,DecAlt
26 METER,64,58,36.1686,N,147,31,3.5022,W,294.42,64.9767135,147.5176395,W,294.42,64.9767135,-147.5176395,294.42
13 METER 1/A,64,58,24.8718,N,147,30,43.4493,W,366.8,64.9735755,147.5120693,W,366.8,64.9735755,-147.5120693,366.8
13 METER 2/B,64,58,24.1914,N,147,30,29.7936,W,384.5,64.9733865,147.508276,W,384.5,64.9733865,-147.508276,384.5
13 METER 3/C,64,58,22.9395,N,147,30,15.6105,W,403.6,64.97303875,147.5043363,W,403.6,64.97303875,-147.5043363,403.6
21 METER,64,58,21.8055,N,147,30,3.0465,W,416.5,64.97272375,147.5008463,W,416.5,64.97272375,-147.5008463,416.5
5M-A Datron,64,58,25.0446,N,147,30,58.0095,W,352.4,64.9736235,147.5161138,W,352.4,64.9736235,-147.5161138,352.4
5M-B MALIBU,64,58,24.2103,N,147,31,2.3871,W,347.5,64.97339175,147.5173298,W,347.5,64.97339175,-147.5173298,347.5
5M-C Barrow,71,19,26.496,N,156,36,43.6908,W,14.8,71.32402667,156.6121363,W,14.8,71.32402667,-156.6121363,14.8
BARROW 2.4 METER,71,19,24.8448,N,156,36,38.8068,W,14.8,71.323568,156.6107797,W,14.8,71.323568,-156.6107797,14.8
SAR 1,64,58,24.8637,N,147,31,3.8469,W,344.1,64.97357325,147.5177353,W,344.1,64.97357325,-147.5177353,344.1
SAR 2,64,58,25.2489,N,147,31,1.74,W,344.7,64.97368025,147.51715,W,344.7,64.97368025,-147.51715,344.7
4.06 METER KA,64,58,23.1552,N,147,30,22.0512,W,390,64.97309867,147.5061253,W,390,64.97309867,-147.5061253,390
GCGO 26M,64,58,42.1788,N,147,29,50.982,W,306.42,64.978383,147.497495,W,306.42,64.978383,-147.497495,306.42
